
> Original 20 stage case
------------------------------------------------------------------------------------------------------------
Here comes the result:
Total Conversion: 81.20%
------------------------------------------------------------------------------------------------------------
stages       T      Q                                            V               L       P            W     
condenser    30.00  -134.                                        3.0267          0.6407  0.0337       2.0654

stages       T      Q           r_FT   Conv%  F      cat         V       Re      L       P            P_VLE 
NON--[1]     119.3  0.000       0.000  0.000  0.000  0.000       5.7667  0.0000  0.7437  0.0000       20.000
NON--[2]     131.1  0.000       0.000  0.000  0.000  0.000       5.8697  0.0000  0.6752  0.0000       20.000
NON--[3]     140.3  0.000       0.000  0.000  0.000  0.000       5.8012  0.0000  0.6136  0.0000       20.000
NON--[4]     148.7  0.000       0.000  0.000  0.000  0.000       5.7396  0.0000  0.5249  0.0218       20.000
NON--[5]     157.3  0.000       0.000  0.000  0.000  0.000       5.6727  0.0000  0.4430  0.0000       20.000
NON--[6]     167.3  0.000       0.000  0.000  0.000  0.000       5.5909  0.0000  0.3311  0.0000       20.000
NON--[7]     181.1  0.000       0.000  0.000  0.000  0.000       5.4790  0.0000  0.1558  0.0389       20.000
React[8]     200.0  -24.4       0.155  0.201  1.000  3000.       5.3427  0.0000  0.0671  0.0000       20.000
React[9]     210.0  -33.7       0.196  0.306  1.000  3000.       4.5610  0.0000  0.0521  0.0000       20.000
React[10]    220.0  -38.8       0.228  0.424  1.000  3000.       3.9304  0.0000  0.0359  0.0153       20.000
React[11]    230.0  -41.6       0.249  0.541  1.000  3000.       3.3726  0.0000  0.0387  0.0000       20.000
React[12]    240.0  -43.3       0.260  0.657  1.000  3000.       2.8543  0.0000  0.0433  0.0000       20.000
NON--[13]    255.9  0.000       0.000  0.000  0.000  0.000       2.3509  0.0000  0.0401  0.0000       20.000
React[14]    260.0  -44.9       0.285  0.798  1.000  3000.       2.3477  0.0000  0.0371  0.0000       20.000
React[15]    270.0  -45.2       0.291  0.874  1.000  3000.       1.8736  0.0000  0.0318  0.0000       20.000
React[16]    280.0  -45.6       0.295  0.930  1.000  3000.       1.4044  0.0000  0.0250  0.0000       20.000
React[17]    290.0  -45.8       0.295  0.967  1.000  3000.       0.9372  0.0000  0.0176  0.0000       20.000
React[18]    300.0  -46.0       0.294  0.988  1.000  3000.       0.4695  0.0000  0.0109  0.0000       20.000
NON--[19]    300.0  0.000       0.000  0.000  0.000  0.000       0.0002  0.0000  0.0109  0.0000       20.000
NON--[20]    300.2  0.000       0.000  0.000  0.000  0.000       0.0002  0.0000  0.0109  0.0000       20.000

stages       T      Q                                            V               L       P            P_VLE 
reboiler     350.0  0.550                                        0.0002                  0.0107       20.000
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-25 02:56:51 - Function time
Elapsed time: 0:01:01
Total time:   0:01:01
============================================================================================================

> Optimized Feed Amount and Location
------------------------------------------------------------------------------------------------------------
Here comes the result:
Total Conversion: 89.62%
------------------------------------------------------------------------------------------------------------
stages       T      Q                                            V               L       P            W     
condenser    30.00  -149.                                        1.8208          0.6124  0.0967       2.4284

stages       T      Q           r_FT   Conv%  F      cat         V       Re      L       P            P_VLE 
NON--[1]     124.4  0.000       0.000  0.000  0.000  0.000       4.9584  0.0000  0.7200  0.0000       20.000
NON--[2]     133.4  0.000       0.000  0.000  0.000  0.000       5.0660  0.0000  0.6684  0.0000       20.000
NON--[3]     140.6  0.000       0.000  0.000  0.000  0.000       5.0144  0.0000  0.6306  0.0000       20.000
NON--[4]     147.1  0.000       0.000  0.000  0.000  0.000       4.9766  0.0000  0.5885  0.0000       20.000
NON--[5]     153.7  0.000       0.000  0.000  0.000  0.000       4.9345  0.0000  0.5267  0.0000       20.000
NON--[6]     162.1  0.000       0.000  0.000  0.000  0.000       4.8727  0.0000  0.4161  0.0000       20.000
NON--[7]     176.4  0.000       0.000  0.000  0.000  0.000       4.7621  0.0000  0.1268  0.1247       20.000
React[8]     200.0  -16.9       0.038  0.100  0.106  3000.       4.5976  0.0000  0.1582  0.0000       20.000
React[9]     236.4  -23.4       0.180  0.348  0.536  3000.       4.5976  0.0000  0.0839  0.0000       20.000
React[10]    240.4  -31.9       0.231  0.401  0.687  3000.       4.3296  0.0000  0.0000  0.0347       20.000
React[11]    237.1  -34.3       0.228  0.391  0.677  3000.       4.0298  0.0000  0.0016  0.0000       20.000
React[12]    236.5  -37.6       0.249  0.406  0.000  3000.       3.7876  0.0000  0.0041  0.0000       20.000
NON--[13]    232.4  0.000       0.000  0.000  0.736  0.000       4.2639  0.0000  0.0029  0.0000       20.000
React[14]    236.8  -43.3       0.287  0.433  0.842  3000.       3.5261  0.0000  0.0054  0.0000       20.000
React[15]    236.9  -51.5       0.341  0.466  0.983  3000.       3.2314  0.0000  0.0077  0.0000       20.000
React[16]    237.4  -66.9       0.440  0.515  0.758  3000.       2.8984  0.0000  0.0103  0.0000       20.000
React[17]    236.9  -143.       0.854  0.583  4.533  3000.       2.9779  0.0000  0.0087  0.0000       20.000
React[18]    299.9  -6.18       0.040  0.999  0.000  3000.       0.0644  0.0000  0.0090  0.0000       20.000
NON--[19]    270.9  0.000       0.000  0.000  0.000  0.000       0.1383  0.0000  0.0070  0.0000       20.000
NON--[20]    239.8  0.000       0.000  0.000  0.135  0.000       0.1363  0.0000  0.0064  0.0000       20.000

stages       T      Q                                            V               L       P            P_VLE 
reboiler     350.0  0.678                                        0.0000                  0.0064       15.825
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-25 06:46:20 - Function time
Elapsed time: 3:49:29
Total time:   3:50:30
============================================================================================================
