
> Original 20 stage case
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages		T	Q						V_out	L_out	L_Prod		W
Condenser	30.00	-134.						3.0267	0.6407	0.0337		2.0654

stages		T	Q	r_FT	Conv%	F	cat		V_out	L_out	L_Prod		P_VLE
NON--[1]	119.3	0.000	0.0000	0.000	0.00	0.000		5.7667	0.7437	0.0000		20.000
NON--[2]	131.1	0.000	0.0000	0.000	0.00	0.000		5.8697	0.6752	0.0000		20.000
NON--[3]	140.3	0.000	0.0000	0.000	0.00	0.000		5.8012	0.6136	0.0000		20.000
NON--[4]	148.7	0.000	0.0000	0.000	0.00	0.000		5.7396	0.5249	0.0218		20.000
NON--[5]	157.3	0.000	0.0000	0.000	0.00	0.000		5.6727	0.4430	0.0000		20.000
NON--[6]	167.3	0.000	0.0000	0.000	0.00	0.000		5.5909	0.3311	0.0000		20.000
NON--[7]	181.1	0.000	0.0000	0.000	0.00	0.000		5.4790	0.1558	0.0389		20.000
React[8]	200.0	-24.4	0.1555	0.201	1.00	3000.		5.3427	0.0671	0.0000		20.000
React[9]	210.0	-33.7	0.1961	0.306	1.00	3000.		4.5610	0.0521	0.0000		20.000
React[10]	220.0	-38.8	0.2284	0.424	1.00	3000.		3.9304	0.0359	0.0153		20.000
React[11]	230.0	-41.6	0.2499	0.541	1.00	3000.		3.3726	0.0387	0.0000		20.000
React[12]	240.0	-43.3	0.2601	0.657	1.00	3000.		2.8543	0.0433	0.0000		20.000
NON--[13]	255.9	0.000	0.0000	0.000	0.00	0.000		2.3509	0.0401	0.0000		20.000
React[14]	260.0	-44.9	0.2857	0.798	1.00	3000.		2.3477	0.0371	0.0000		20.000
React[15]	270.0	-45.2	0.2917	0.874	1.00	3000.		1.8736	0.0318	0.0000		20.000
React[16]	280.0	-45.6	0.2950	0.930	1.00	3000.		1.4044	0.0250	0.0000		20.000
React[17]	290.0	-45.8	0.2956	0.967	1.00	3000.		0.9372	0.0176	0.0000		20.000
React[18]	300.0	-46.0	0.2942	0.988	1.00	3000.		0.4695	0.0109	0.0000		20.000
NON--[19]	300.0	0.000	0.0000	0.000	0.00	0.000		0.0002	0.0109	0.0000		20.000
NON--[20]	300.2	0.000	0.0000	0.000	0.00	0.000		0.0002	0.0109	0.0000		20.000

stages		T	Q						V_out	L_out			P_VLE
Reboiler	350.0	0.550						0.0002	0.0107			20.000
------------------------------------------------------------------------------------------------------------
Napha:		0.77
Gasoline:	0.76
Diesel:		0.60
Heavy:		0.86
============================================================================================================
2018-07-12 17:59:01 - Function time
Elapsed time: 0:00:17
Total time:   0:00:17
============================================================================================================

> Optimized Feed Amount and Location
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages		T	Q						V_out	L_out	L_Prod		W
Condenser	30.00	-148.						1.9139	0.6905	0.0767		2.3872

stages		T	Q	r_FT	Conv%	F	cat		V_out	L_out	L_Prod		P_VLE
NON--[1]	121.0	0.000	0.0000	0.000	0.00	0.000		5.0685	0.8068	0.0000		20.000
NON--[2]	129.3	0.000	0.0000	0.000	0.00	0.000		5.1848	0.7446	0.0000		20.000
NON--[3]	136.8	0.000	0.0000	0.000	0.00	0.000		5.1226	0.6992	0.0000		20.000
NON--[4]	144.2	0.000	0.0000	0.000	0.00	0.000		5.0772	0.6218	0.0259		20.000
NON--[5]	152.0	0.000	0.0000	0.000	0.00	0.000		5.0257	0.5480	0.0000		20.000
NON--[6]	161.9	0.000	0.0000	0.000	0.00	0.000		4.9520	0.4276	0.0000		20.000
NON--[7]	177.3	0.000	0.0000	0.000	0.00	0.000		4.8315	0.1523	0.1141		20.000
React[8]	200.0	-20.2	0.0400	0.100	0.11	3000.		4.6704	0.2104	0.0000		20.000
React[9]	241.0	-27.4	0.2253	0.388	0.66	3000.		4.6969	0.1017	0.0000		20.000
React[10]	243.5	-38.4	0.2796	0.435	0.83	3000.		4.3450	0.0024	0.0349		20.000
React[11]	239.8	-41.8	0.2793	0.425	0.82	3000.		3.9772	0.0020	0.0000		20.000
React[12]	239.1	-47.2	0.3148	0.446	0.00	3000.		3.6801	0.0037	0.0000		20.000
NON--[13]	232.9	0.000	0.0000	0.000	0.92	0.000		4.2777	0.0026	0.0000		20.000
React[14]	238.7	-55.6	0.3697	0.475	1.06	3000.		3.3539	0.0046	0.0000		20.000
React[15]	238.2	-70.4	0.4642	0.516	0.75	3000.		2.9931	0.0070	0.0000		20.000
React[16]	237.0	-147.	0.8784	0.572	4.75	3000.		3.1171	0.0061	0.0000		20.000
React[17]	299.9	0.266	0.0003	0.999	0.00	3000.		0.0329	0.0063	0.0000		20.000
React[18]	299.9	-3.36	0.0202	0.999	0.00	3000.		0.0328	0.0065	0.0000		20.000
NON--[19]	280.1	0.000	0.0000	0.000	0.00	0.000		0.0700	0.0052	0.0000		20.000
NON--[20]	252.9	0.000	0.0000	0.000	0.06	0.000		0.0687	0.0048	0.0000		20.000

stages		T	Q						V_out	L_out			P_VLE
Reboiler	350.0	0.460						0.0000	0.0048			16.304
------------------------------------------------------------------------------------------------------------
Napha:		0.75
Gasoline:	0.75
Diesel:		0.60
Heavy:		0.85
============================================================================================================
2018-07-12 18:01:09 - Function time
Elapsed time: 0:02:08
Total time:   0:02:25
============================================================================================================
