
> Original 20 stage case
------------------------------------------------------------------------------------------------------------
Here comes the result:
Total Conversion: 81.20%
------------------------------------------------------------------------------------------------------------
stages       T      Q                                            V               L       P            W     
condenser    30.00  -134.                                        3.0267          0.6407  0.0337       2.0654

stages       T      Q           r_FT   Conv%  F      cat         V       Re      L       P            P_VLE 
NON--[1]     119.3  0.000       0.000  0.000  0.000  0.000       5.7667  0.0000  0.7437  0.0000       20.000
NON--[2]     131.1  0.000       0.000  0.000  0.000  0.000       5.8697  0.0000  0.6752  0.0000       20.000
NON--[3]     140.3  0.000       0.000  0.000  0.000  0.000       5.8012  0.0000  0.6136  0.0000       20.000
NON--[4]     148.7  0.000       0.000  0.000  0.000  0.000       5.7396  0.0000  0.5249  0.0218       20.000
NON--[5]     157.3  0.000       0.000  0.000  0.000  0.000       5.6727  0.0000  0.4430  0.0000       20.000
NON--[6]     167.3  0.000       0.000  0.000  0.000  0.000       5.5909  0.0000  0.3311  0.0000       20.000
NON--[7]     181.1  0.000       0.000  0.000  0.000  0.000       5.4790  0.0000  0.1558  0.0389       20.000
React[8]     200.0  -24.4       0.155  0.201  1.000  3000.       5.3427  0.0000  0.0671  0.0000       20.000
React[9]     210.0  -33.7       0.196  0.306  1.000  3000.       4.5610  0.0000  0.0521  0.0000       20.000
React[10]    220.0  -38.8       0.228  0.424  1.000  3000.       3.9304  0.0000  0.0359  0.0153       20.000
React[11]    230.0  -41.6       0.249  0.541  1.000  3000.       3.3726  0.0000  0.0387  0.0000       20.000
React[12]    240.0  -43.3       0.260  0.657  1.000  3000.       2.8543  0.0000  0.0433  0.0000       20.000
NON--[13]    255.9  0.000       0.000  0.000  0.000  0.000       2.3509  0.0000  0.0401  0.0000       20.000
React[14]    260.0  -44.9       0.285  0.798  1.000  3000.       2.3477  0.0000  0.0371  0.0000       20.000
React[15]    270.0  -45.2       0.291  0.874  1.000  3000.       1.8736  0.0000  0.0318  0.0000       20.000
React[16]    280.0  -45.6       0.295  0.930  1.000  3000.       1.4044  0.0000  0.0250  0.0000       20.000
React[17]    290.0  -45.8       0.295  0.967  1.000  3000.       0.9372  0.0000  0.0176  0.0000       20.000
React[18]    300.0  -46.0       0.294  0.988  1.000  3000.       0.4695  0.0000  0.0109  0.0000       20.000
NON--[19]    300.0  0.000       0.000  0.000  0.000  0.000       0.0002  0.0000  0.0109  0.0000       19.989
NON--[20]    300.2  0.000       0.000  0.000  0.000  0.000       0.0002  0.0000  0.0109  0.0000       19.989

stages       T      Q                                            V               L       P            P_VLE 
reboiler     350.0  0.550                                        0.0002                  0.0107       19.990
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-26 03:15:51 - Function time
Elapsed time: 0:00:18
Total time:   0:00:18
============================================================================================================

> Optimized Product Side Draw
------------------------------------------------------------------------------------------------------------
Here comes the result:
Total Conversion: 87.88%
------------------------------------------------------------------------------------------------------------
stages       T      Q                                            V               L       P            W     
condenser    30.00  -162.                                        2.1132          0.9770  0.0913       2.3384

stages       T      Q           r_FT   Conv%  F      cat         V       Re      L       P            P_VLE 
NON--[1]     132.4  0.000       0.000  0.000  0.000  0.000       5.5201  0.0000  1.2093  0.0000       20.000
NON--[2]     147.6  0.000       0.000  0.000  0.000  0.000       5.7524  0.0000  1.1552  0.0000       20.000
NON--[3]     158.2  0.000       0.000  0.000  0.000  0.000       5.6983  0.0000  1.1103  0.0000       20.000
NON--[4]     166.7  0.000       0.000  0.000  0.000  0.000       5.6534  0.0000  1.0491  0.0000       20.000
NON--[5]     175.0  0.000       0.000  0.000  0.000  0.000       5.5922  0.0000  0.9481  0.0000       20.000
NON--[6]     185.5  0.000       0.000  0.000  0.000  0.000       5.4912  0.0000  0.7685  0.0000       20.000
NON--[7]     202.5  0.000       0.000  0.000  0.000  0.000       5.3116  0.0000  0.4073  0.1056       20.000
React[8]     229.5  -32.2       0.255  0.393  1.000  3000.       5.0560  0.0000  0.1561  0.0000       20.000
React[9]     237.0  -41.5       0.279  0.464  1.000  3000.       4.2946  0.0000  0.0795  0.0000       20.000
React[10]    240.2  -43.0       0.292  0.512  1.000  3000.       3.7486  0.0000  0.0107  0.0276       20.000
React[11]    236.4  -44.0       0.281  0.530  1.000  3000.       3.2610  0.0000  0.0073  0.0000       20.000
React[12]    236.5  -44.0       0.279  0.573  1.000  3000.       2.7927  0.0000  0.0082  0.0000       20.000
NON--[13]    238.4  0.000       0.000  0.000  0.000  0.000       2.3243  0.0000  0.0076  0.0000       20.000
React[14]    238.7  -44.2       0.282  0.632  1.000  3000.       2.3237  0.0000  0.0083  0.0000       20.000
React[15]    239.8  -44.1       0.281  0.694  1.000  3000.       1.8596  0.0000  0.0090  0.0000       20.000
React[16]    242.9  -44.2       0.282  0.773  1.000  3000.       1.3927  0.0000  0.0091  0.0000       20.000
React[17]    249.2  -44.7       0.284  0.866  1.000  3000.       0.9254  0.0000  0.0093  0.0000       20.000
React[18]    278.4  -45.5       0.299  0.972  1.000  3000.       0.4575  0.0000  0.0047  0.0000       20.000
NON--[19]    278.5  0.000       0.000  0.000  0.000  0.000       0.0001  0.0000  0.0047  0.0000       19.986
NON--[20]    279.2  0.000       0.000  0.000  0.000  0.000       0.0001  0.0000  0.0048  0.0000       19.987

stages       T      Q                                            V               L       P            P_VLE 
reboiler     350.0  0.305                                        0.0002                  0.0045       19.988
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-26 05:27:45 - Function time
Elapsed time: 2:11:54
Total time:   2:12:13
============================================================================================================

> Optimized Feed Amount and Location
------------------------------------------------------------------------------------------------------------
Here comes the result:
Total Conversion: 89.06%
------------------------------------------------------------------------------------------------------------
stages       T      Q                                            V               L       P            W     
condenser    30.00  -147.                                        1.9106          0.6176  0.0990       2.3902

stages       T      Q           r_FT   Conv%  F      cat         V       Re      L       P            P_VLE 
